__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1779288971.884869,,,,1779288971.884743214,0.751856569,-0.012291068,-1.062677429,-0.101330558
1779288971.884919,0.045494758,0.379512845,0.000000000,,,,,
1779288971.885715,,,,1779288971.885581255,0.751845799,-0.012250591,-1.062766226,-0.100999479
1779288971.885736,0.046039213,0.376578184,0.000000000,,,,,
1779288971.886602,,,,1779288971.886479139,0.751834674,-0.012209164,-1.062857939,-0.100653896
1779288971.886621,0.045465873,0.379270842,0.000000000,,,,,
1779288971.887562,0.045404792,0.378765704,0.000000000,,,,,
1779288971.887599,,,,1779288971.887506247,0.751822416,-0.012163407,-1.062958989,-0.100272192
1779288971.888474,,,,1779288971.888405800,0.751811456,-0.012121827,-1.063049349,-0.099932539
1779288971.888515,0.045985135,0.375636404,0.000000000,,,,,
1779288971.889334,,,,1779288971.889216661,0.751801367,-0.012083972,-1.063132519,-0.099616754
1779288971.889373,0.045340990,0.378231181,0.000000000,,,,,
1779288971.890256,,,,1779288971.890153885,0.751790232,-0.012042045,-1.063224311,-0.099267006
1779288971.890285,0.045340990,0.378231181,0.000000000,,,,,
1779288971.891115,0.045282605,0.377749273,0.000000000,,,,,
1779288971.891290,,,,1779288971.891082287,0.751778959,-0.011999507,-1.063317228,-0.098912149
1779288971.892152,,,,1779288971.892026663,0.751767527,-0.011956207,-1.063411464,-0.098550940
1779288971.892171,0.045282605,0.377749273,0.000000000,,,,,
1779288971.893007,0.045220547,0.377229377,0.000000000,,,,,
1779288971.893097,,,,1779288971.892963648,0.751756598,-0.011914729,-1.063501542,-0.098204928
1779288971.893952,0.045188680,0.376962404,0.000000000,,,,,
1779288971.894074,,,,1779288971.893886328,0.751745564,-0.011872733,-1.063592482,-0.097854603
1779288971.894793,0.045158131,0.376706470,0.000000000,,,,,
1779288971.894855,,,,1779288971.894722223,0.751735571,-0.011834600,-1.063674845,-0.097536499
1779288971.895696,0.045158131,0.376706470,0.000000000,,,,,
1779288971.895863,,,,1779288971.895644426,0.751724800,-0.011793358,-1.063763610,-0.097192458
1779288971.896671,,,,1779288971.896558523,0.751714092,-0.011752267,-1.063851851,-0.096849686
1779288971.896711,0.045099029,0.376211344,0.000000000,,,,,
1779288971.897513,0.045068558,0.375956068,0.000000000,,,,,
1779288971.897564,,,,1779288971.897474527,0.751703287,-0.011710684,-1.063940890,-0.096502807
1779288971.898538,,,,1779288971.898444414,0.751691860,-0.011666542,-1.064035050,-0.096134574
1779288971.898556,0.045068558,0.375956068,0.000000000,,,,,
1779288971.899536,0.045007397,0.375443697,0.000000000,,,,,
1779288971.899571,,,,1779288971.899367094,0.751681567,-0.011626697,-1.064119862,-0.095802198
1779288971.900407,0.044974681,0.375169624,0.000000000,,,,,
1779288971.900448,,,,1779288971.900312424,0.751670477,-0.011583638,-1.064211241,-0.095443005
1779288971.901277,0.044945130,0.374922060,0.000000000,,,,,
1779288971.901343,,,,1779288971.901173115,0.751660657,-0.011545407,-1.064292154,-0.095124096
1779288971.902182,0.044945130,0.374922060,0.000000000,,,,,
1779288971.902247,,,,1779288971.902103186,0.751650167,-0.011504428,-1.064378572,-0.094782256
1779288971.903117,,,,1779288971.903022766,0.751639491,-0.011462624,-1.064466525,-0.094433538
