__time,/desired_joint_accelerations/data[0],/desired_joint_accelerations/data[1],/desired_joint_accelerations/layout/data_offset,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781155891.437048,,,,-0.045643577,-0.023258435,0.000000000,,,,,
1781155891.437089,,,,,,,1781155891.436974287,0.951393030,0.034499971,-0.707541027,0.014147808
1781155891.437298,-0.045978517,-0.022989259,0.000000000,,,,,,,,
1781155891.437981,,,,-0.045668015,-0.023283868,0.000000000,,,,,
1781155891.438148,,,,,,,1781155891.437927961,0.951423712,0.034459310,-0.707528449,0.014127077
1781155891.438524,-0.046011242,-0.023005621,0.000000000,,,,,,,,
1781155891.438914,,,,-0.045706586,-0.023293299,0.000000000,,,,,
1781155891.439080,,,,,,,1781155891.438866854,0.951455701,0.034416828,-0.707515338,0.014105427
1781155891.439392,-0.046043967,-0.023021984,0.000000000,,,,,,,,
1781155891.439777,,,,-0.046011242,-0.023005621,0.000000000,,,,,
1781155891.439923,,,,,,,1781155891.439739466,0.951488298,0.034373194,-0.707501982,0.014083610
1781155891.440225,-0.046076692,-0.023038346,0.000000000,,,,,,,,
1781155891.440672,,,,-0.046076692,-0.023038346,0.000000000,,,,,
1781155891.440796,,,,,,,1781155891.440633774,0.951519208,0.034331710,-0.707489321,0.014062868
1781155891.441229,-0.046109417,-0.023054709,0.000000000,,,,,,,,
1781155891.441581,,,,-0.046076692,-0.023038346,0.000000000,,,,,
1781155891.441713,,,,,,,1781155891.441561222,0.951549077,0.034291575,-0.707477089,0.014042801
1781155891.442281,-0.046142142,-0.023071071,0.000000000,,,,,,,,
1781155891.442541,,,,-0.045810879,-0.023337560,0.000000000,,,,,
1781155891.442624,,,,,,,1781155891.442485809,0.951582698,0.034246601,-0.707463325,0.014019890
1781155891.443218,-0.046174867,-0.023087434,0.000000000,,,,,,,,
